title,address,square_area,square_in_use,bedroom,wc,num_floor,width,height,door,certificates,house_type,furniture_status,house_specific,price_m2,price_square,location,in_centroid
Cần chuyển đi bán nhà hẻm cấp 4,"Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",1,1,0,0,0,2,0,,0,2,2,1,3,2,0,1
Bán nhà chính chủ Q1 chưa qua đầu tư 67m2 giá rẻ,"6a/, Đường Nguyễn Cảnh Chân, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",2,1,1,0,0,2,1,Tây Nam,0,2,2,2,4,3,0,1
Nhà nhỏ quận 1,"hẻm, Đường Bến Chương Dương, Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh",0,0,0,0,0,0,0,,0,2,3,1,0,0,0,1
MẶT TIỀN ĐƯỜNG VÕ THỊ SÁU - QUẬN 1,"Đường Võ Thị Sáu, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",3,3,0,0,0,2,2,,0,0,3,1,4,2,0,1
"Bán nhà 14/10C Calmette, Q.1, chính chủ.","Đường Calmette, Phường Nguyễn Thái Bình, Quận 1, Tp Hồ Chí Minh",1,0,1,2,0,2,0,Tây Bắc,0,2,0,2,4,2,0,1
"Bán nhà mới 5 lầu Trần Hưng Đạo Q1, 34m2 4.95 tỷ","Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh",0,2,1,2,1,0,0,,0,2,3,0,3,1,0,1
"Nhà mặt tiền đường Huỳnh Khương Ninh, P Đa Kao, Q1","Đường Huỳnh Khương Ninh, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",2,3,2,1,0,2,2,Tây Bắc,0,1,3,2,4,1,0,1
KẸT VỐN KINH DOANH BÁN NHÀ ĐINH TIÊN HOÀNG Q1 69m2,"Đường Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",2,3,1,1,0,2,1,,0,2,3,0,1,4,0,1
"CHÍNH CHỦ BÁN GẤP NHÀ HXH TRẦN HƯNG ĐẠO,Q1,41M SHR","Đường Trần Hưng Đạo, Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh",1,0,0,0,0,0,1,,0,2,2,0,1,0,0,1
"Bán nhà 54m2 đ.Điện Biên Phủ, p.Đa kao, q.1","Đường Điện Biên Phủ, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",1,1,0,1,0,1,1,,0,2,2,0,2,4,0,1
"Q1 Nguyễn Cảnh Chân 3.2x13m ,trệt lửng 3 lầu 1st","Đường Nguyễn Cảnh Chân, Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh",0,2,2,1,1,0,1,Tây Nam,0,2,1,1,4,2,0,1
ai thiện chí lh chính chủ 09097116năm năm,"Đường Trần Khắc Chân, Phường Tân Định, Quận 1, Tp Hồ Chí Minh",1,1,2,1,0,0,1,,0,2,3,1,4,3,0,1
"Bán KS 3 sao mặt tiền Nguyễn Trãi, Q1","180 - 182 - 184, Đường Nguyễn Trãi, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",3,3,2,2,1,2,2,Đông Nam,0,1,1,2,4,4,0,1
Bán Nhà Trung Tâm Quận 1,"21/6 trịnh văn cấn p cầu ông lãnh q1 tphcm, Phường Cầu Ông Lãnh, Quận 1, Tp Hồ Chí Minh",1,1,2,2,0,0,2,Đông Nam,0,2,3,1,4,3,0,1
Mặt Tiền 1468 Hai Bà Trưng 90m2 4 Tầng,"=> Gọi 0833083123 & 0902187404, Xem Nhà 13 Nguyễn 608 Thượng 42/44B Kiệm Xu Hiền 4 Đình 1277B Trần 136/24 Lê Đức Thọ, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",3,3,2,1,0,2,2,,3,1,3,1,0,4,0,1
Nhà MT 8m 1578 Lê Thánh Tôn 326M2 4 Tầng,"=> Gọi 0833083123 & 0902187404, Xem Nhà 13 Nguyễn 608 Thượng 42/44B Kiệm Xu Hiền 4 Đình 1277B Trần 136/24 Lê Đức Thọ, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",3,3,2,1,0,2,2,,3,1,3,1,0,1,0,1
CHDV 1387 Nguyễn Tất Thành 3500M2 10 TẦNG,"=> Gọi 0833083123 & 0902187404, Xem Nhà 13 Nguyễn 608 Thượng 42/44B Kiệm Xu Hiền 4 Đình 1277B Trần 136/24 Lê Đức Thọ, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",3,3,2,1,0,2,2,,3,1,3,1,0,1,0,1
Mặt Tiền 1875 Nguyễn Trãi 758M2 3 Tầng,"=> Gọi 0833083123 & 0902187404, Xem Nhà 13 Nguyễn 608 Thượng 42/44B Kiệm Xu Hiền 4 Đình 1277B Trần 136/24 Lê Đức Thọ, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",3,3,2,1,0,2,2,,3,1,3,1,1,2,0,1
Bán Nhà mới xây 61/12 Cô Giang,"Đường Cô Giang, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh",2,3,2,1,0,0,2,,0,1,3,1,4,1,0,1
Bán khách sạn mới xây ngay đường Nguyễn Trãi,"Đường Nguyễn Trãi, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",1,3,2,2,0,0,1,,0,1,3,1,4,1,0,1
"Nhà đẹp mặt tiền Trần Khắc Chân, Q.1, 7tỷ2. Có sổ","Đường Trần Khắc Chân, Phường Tân Định, Quận 1, Tp Hồ Chí Minh",3,2,1,1,0,2,0,,0,1,0,1,2,2,0,1
"Mặt tiềnTrương Hán Siêu Đakao,Q.1,77m2 chỉ 16.5 tỷ","Đường Trương Hán Siêu, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",2,3,2,2,1,0,2,,0,1,3,1,4,3,0,1
Bán nhà hẻm 2m cách MT Hồ Hảo Hớn 5m 1t1l 26m2,"Đường Hồ Hảo Hớn, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh",0,0,0,0,0,1,0,,0,2,3,2,0,2,0,1
Bán nhà HXH Đinh Tiên Hoàng ( Ngang 4 ; dài 10 ),"Đường Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",0,0,0,0,0,2,0,,0,1,3,1,4,0,0,1
Ban nha Quan 1 mat tien Nguyen Van Cu gia re,"Đường Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",1,2,1,1,0,0,1,Đông,0,1,3,1,4,3,0,1
"Mặt Tiền Quận 1,Nguyễn Trãi, 2.5m x 13m chỉ 3.9tỷ","Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",0,1,1,0,0,0,1,,0,1,2,1,3,1,0,1
Nhà bán gấp đi nước ngoài Trần Quang Khải,"112/20, Đường Trần Quang Khải, Phường Tân Định, Quận 1, Tp Hồ Chí Minh",1,1,0,0,0,0,1,,0,2,2,1,3,1,0,1
"Bán Quận 1 HXH, Trần ĐìnhXu, 3.6 x 6.3, 4.95tỷ.","Đường Trần Đình Xu, Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh",0,1,1,0,0,0,0,,0,2,1,1,4,4,0,1
"Bán Nhà Quận 1,Trần Hưng Đạo, 5Tầg, 4.3 x 7.5, 4.9","Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh",0,2,1,2,1,1,0,,0,2,1,1,4,4,0,1
"NHÀ 229/29 ĐỀ THÁM 3 x 5 trệt 3 lầu giá 3,5 tỷ","đề thám, Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh",0,1,1,1,1,0,0,,0,2,3,2,4,1,0,1
"Bán nhà hẻm Trần Đình Xu an ninh, yên tĩnh","Đường Trần Đình Xu, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh",0,0,1,1,0,2,0,Đông Bắc,0,2,3,1,0,1,0,1
"Nhà 3 lầu,cách MT Nguyễn thị minh Khai 30m Quận 1","Đường Nguyễn Thị Minh Khai, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",0,2,1,1,0,0,0,,0,2,3,1,4,2,0,1
Chính Chủ Cần Bán Nhà Mặt Tiền Q1,"Đường Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",1,0,1,1,0,2,0,,0,1,3,1,4,0,0,1
"Mặt Tiền Nguyễn Văn Cừ, Q.1","Đường Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",2,1,2,1,0,2,0,,3,1,3,1,4,0,0,1
"Nhà MT Vip Trần Quang Khải Q1, Giá bán 31 Tỷ.","Đường Trần Quang Khải, Phường Tân Định, Quận 1, Tp Hồ Chí Minh",2,3,2,2,1,1,2,,0,1,1,2,4,1,0,1
Nhà hẻm 7m (khu cực sang) Phạm Viết Chánh Q1. 84m2,"Đường Phạm Viết Chánh, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",3,2,1,1,0,0,2,,0,2,3,1,4,3,0,1
Biệt thự đơn lập Vinhomes Golden River BaSon 437m²,"đường Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",3,3,2,2,0,2,2,Nam,0,3,0,1,4,4,0,1
Hẻm 3.5m Số 245/79/46 Nguyễn Trãi (Khu Mã Lạng) Q1,"245/79/46, Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",0,1,0,0,0,0,0,,3,2,3,1,3,3,0,1
Góc 2MT hẻm CHDV ngay Nguyễn Trãi Q.1.,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",1,0,2,2,0,1,0,Tây Bắc,0,2,1,0,4,3,0,1
BÁN GẤP NHÀ MT CALMETTE,"Đường Calmette||2719, Phường Nguyễn Thái Bình, Quận 1, Tp Hồ Chí Minh",2,1,0,0,0,0,2,,0,1,1,0,0,1,0,1
"Bán Nhà mới HXH Nguyễn Văn Nguyễn, Q1. Giá 8.5 tỷ","Đường Nguyễn Văn Nguyễn||2824, Phường Tân Định, Quận 1, Tp Hồ Chí Minh",0,2,1,1,0,0,0,Tây Nam,0,2,3,1,4,2,0,1
"Nhà TĐXu Q1, 5 lầu+sân thượng, DT: 4m x 16,5m","Đường Trần Đình Xu, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh",2,3,2,2,1,0,2,Tây Bắc,0,2,3,1,4,4,0,1
"Nhà bán Bùi Thị Xuân Q1 hẻm 4m, dt:4 x 16m2 nở hậu","Đường Bùi Thị Xuân, Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh",2,3,1,2,0,0,2,Đông Bắc,0,2,0,2,4,3,0,1
"Bán nhà trung tâm quận 1, đường Cô Bắc","Đường Cô Bắc, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh",0,0,0,0,0,1,0,,0,2,1,1,4,1,0,1
Mặt Tiền 1870 Hai Bà Trưng 97m2 4 Tầng,"=> Gọi 0833083123 & 0902187404, Xem Nhà 42/44B Kiệm 4 Hiền 136/24 Lê Đức Xu 13 Đình 1277B Trần Thọ Nguyễn 608 Thượng, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",3,3,2,1,0,2,2,,3,1,3,1,0,4,0,1
Nhà MT 8m 1245 Lê Thánh Tôn 326M2 4 Tầng,"=> Gọi 0833083123 & 0902187404, Xem Nhà 42/44B Kiệm 4 Hiền 136/24 Lê Đức Xu 13 Đình 1277B Trần Thọ Nguyễn 608 Thượng, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",3,3,2,1,0,2,2,,3,1,3,1,0,1,0,1
CHDV 1432 Nguyễn Tất Thành 3508M2 10 TẦNG,"=> Gọi 0833083123 & 0902187404, Xem Nhà 42/44B Kiệm 4 Hiền 136/24 Lê Đức Xu 13 Đình 1277B Trần Thọ Nguyễn 608 Thượng, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",3,3,2,1,0,2,2,,3,1,3,1,0,1,0,1
Mặt Tiền 1545 Nguyễn Trãi 758M2 3 Tầng,"=> Gọi 0833083123 & 0902187404, Xem Nhà 42/44B Kiệm 4 Hiền 136/24 Lê Đức Xu 13 Đình 1277B Trần Thọ Nguyễn 608 Thượng, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",3,3,2,1,0,2,2,,3,1,3,1,1,2,0,1
MẶT TIỀN trung tâm Q1 58 Cô Giang P.Cô Giang Q.1,"Đường Cô Giang, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh",1,1,2,2,1,2,0,Đông Nam,0,1,3,2,4,1,0,1
"Nhà chính chủ MT Trần Quang Khải, Quận 1. SHR","Đường Trần Quang Khải, Phường Tân Định, Quận 1, Tp Hồ Chí Minh",1,0,1,1,0,2,0,,0,1,3,1,2,4,0,1
Hoa hồng cho người bán nhà gia đình tôi thanks,"322/9A, Đường Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",0,0,0,0,0,2,2,Đông Nam,0,2,3,1,0,4,0,1
Cần bán nhà hẻm Nguyễn Cư Trinh,"Đường Nguyễn Cư Trinh, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",0,1,1,1,0,0,0,Tây Nam,0,2,2,1,4,1,0,1
"Nhà mặt tiền hẻm : Mai Thị Lựa , Quận 1","Đường Mai Thị Lựu, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",1,0,0,0,0,1,0,,0,2,1,1,0,3,0,1
Nhà Đề Thám q1,"6/21, Đường Đề Thám, Phường Cầu Ông Lãnh, Quận 1, Tp Hồ Chí Minh",0,0,1,1,0,2,0,Đông Bắc,0,2,3,2,4,2,0,1
"Mặt tiền Đinh Tiên Hoàng, Q1. 51m2, 2 lầu. 14.5 tỷ","Đường Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",2,1,1,1,0,2,0,,0,1,3,1,4,3,0,1
"Bán nhà 2ty240/48m2 Nguyễn Phi Khanh, Q1, Sổ riêng","Đường Nguyễn Phi Khanh, Phường Tân Định, Quận 1, Tp Hồ Chí Minh",1,0,0,0,0,0,1,,3,2,3,1,2,4,0,1
Bán nhà trần khắc chân .phường đa cao.quân 1,"Đường Trần Khắc Chân, Phường Tân Định, Quận 1, Tp Hồ Chí Minh",0,0,0,0,0,2,0,,0,2,3,1,0,4,0,1
Bán nhà CHDV 10P 4x12 HXH Nguyễn Trãi,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",0,0,2,1,0,0,1,,0,1,3,1,1,3,0,1
Chính Chủ Bán Nhà 2 MT Cống Quỳnh & Bùi Viện-270m2,"Đường Cống Quỳnh, Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh",3,3,2,2,1,2,2,,0,1,3,0,4,1,0,1
Nhà mới Trệt lửng view sông lộ nhựa 7m Cần Thơ,"220A Lộ chợ số 10, KV2, P.Ba Láng, Q.Cái Răng. Cần Thơ, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",2,1,1,0,0,2,1,,0,1,3,2,0,3,0,1
"Bán mặt tiền đường Nguyễn Cảnh Chân, Trần Hưng Đạo","TK68, Đường Nguyễn Cảnh Chân, Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh",0,0,0,0,0,0,1,,3,1,3,1,0,0,0,1
Mặt tiền Nguyễn Văn Thủ 8 tỷ 1. Cho thuê 110tr/th,"Đường Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",3,3,0,1,0,2,1,,0,1,0,1,2,2,0,1
"Bán gấp nhà 1T1L Cô Giang Q1 Tiện cho thuê 1,2tỷ","Đường Cô Bắc, Phường Cầu Ông Lãnh, Quận 1, Tp Hồ Chí Minh",0,0,0,1,0,2,0,,0,1,3,1,0,0,0,1
