,title,address,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,status,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2,price_square
10,"Bán căn 2Mt hxh Nguyễn Văn Trỗi,51m2-5 tầng-12tỷ!","Đường Nguyễn Văn Trỗi, Phường 10, Quận Phú Nhuận, Tp Hồ Chí Minh",[],[],[],[],[],51 m²,[],4 phòng,[],5,[],[],[],[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"235,29 triệu/m²",12 tỷ- 51 m2đ
11,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
12,Biệt Thự Mặt Tiền Hoa Mai Phú Nhuận Đang Cho Thuê,"Đường Hoa Mai, Phường 2, Quận Phú Nhuận, Tp Hồ Chí Minh",[],[],[],[],[],144 m²,[],6 phòng,6 phòng,[],[],8 m,18 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],[],[],"57,99 triệu/m²","8,35 tỷ- 144 m2đ"
13,"Biệt Thự Mặt Tiền Trần Huy Liệu 300m2, 5Tầng, 60Tỷ","Đường Trần Huy Liệu, Phường 11, Quận Phú Nhuận, Tp Hồ Chí Minh",[],[],[],[],[],300 m²,300 m²,8 phòng,Nhiều hơn 6 phòng,5,[],10 m,30 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],[],[],200 triệu/m²,60 tỷ- 300 m2đ
14,BIỆT THỰ MINI ĐẸP 4lầu TT Phú nhuận CẦN BÁN,"Đường Nguyễn Đình Chiểu, Phường 3, Quận Phú Nhuận, Tp Hồ Chí Minh",[],[],[],[],[],88.6 m²,320 m²,5 phòng,6 phòng,4,[],4 m,22 m,['Bắc'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"178,41 triệu/m²","15,7 tỷ- 88.6 m2đ"
15,"Hxh Phan Đăng Lưu - PN, 48m2 × 2 tầng, N 4m 6,7tỷ","Đường Phan Đăng Lưu, Phường 3, Quận Phú Nhuận, Tp Hồ Chí Minh",[],[],[],[],[],48 m²,96 m²,3 phòng,2 phòng,[],[],4 m,12 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"139,58 triệu/m²","6,7 tỷ- 48 m2đ"
16,Bán Nhà FULL nội thất cao cấp đường Đào Duy Anh,"Đường Đào Duy Anh, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh",[],[],[],[],[],126.5 m²,96.2 m²,7 phòng,Nhiều hơn 6 phòng,[],[],4 m,5 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"142,86 triệu/m²",18 tỷ- 126.5 m2đ
17,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
18,Bể nợ bángấp biệt thự mini Huỳnh Văn Bánh giá 2tỷ,"Đường Huỳnh Văn Bánh, Phường 11, Quận Phú Nhuận, Tp Hồ Chí Minh",[],[],[],[],[],120 m²,240 m²,3 phòng,4 phòng,1,[],6 m,20 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"16,67 triệu/m²",2 tỷ- 120 m2đ
19,"BÁN BIỆT THỰ 2MT KHU GIA HÒA ,ĐƯỜNG ĐỖ XUÂN HỢP Q9","Đường Lê Văn Sỹ, Phường 1, Quận Phú Nhuận, Tp Hồ Chí Minh",[],[],[],[],[],200 m²,[],4 phòng,5 phòng,[],[],10 m,20 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],[],[],80 triệu/m²,16 tỷ- 200 m2đ
