,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2
6009,[],[],[],[],[],60 m²,120 m²,2 phòng,1 phòng,[],[],4 m,15 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"10,67 triệu/m²"
6010,[],[],[],[],[],56 m²,170 m²,4 phòng,3 phòng,[],[],4 m,14 m,[],[],[],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],"82,14 triệu/m²"
6011,[],[],[],[],[],48 m²,96 m²,2 phòng,2 phòng,[],[],4 m,13 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],['Hẻm xe hơi'],[],"18,65 triệu/m²"
6012,[],[],[],[],[],160 m²,[],4 phòng,3 phòng,4,[],[],[],[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],['Hẻm xe hơi'],[],"14,69 triệu/m²"
6013,[],[],[],[],[],46 m²,[],2 phòng,2 phòng,2,[],4 m,12 m,['Tây Bắc'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],['Hoàn thiện cơ bản'],[],[],['Nở hậu'],[],"85,87 triệu/m²"
6014,[],[],[],[],[],100 m²,200 m²,4 phòng,2 phòng,2,[],5 m,20 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],9 triệu/m²
6015,[],[],[],[],[],10 m²,20 m²,1 phòng,1 phòng,2,[],5 m,2.5 m,['Tây'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],['Bàn giao thô'],[],[],[],[],92 triệu/m²
6016,[],[],[],[],[],38 m²,118 m²,4 phòng,3 phòng,3,[],[],[],[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],['Nội thất đầy đủ'],[],[],['Hẻm xe hơi'],[],"60,53 triệu/m²"
6017,[],[],[],[],[],300 m2,[],[],[],[],[],10 m,30 m,[],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],[],[],"1,8 triệu/m2"
6018,LuxGarden,[],[],[],77 m²,[],[],2 phòng,2 phòng,[],[],[],[],[],[],['Đã có sổ'],[],[],[],['Chung cư'],['Nội thất cao cấp'],['Đã bàn giao'],[],[],[],"32,73 triệu/m²"
6019,[],[],[],[],[],137 m2,[],[],[],[],[],6 m,23 m,[],[],[],[],['Đất thổ cư'],[],[],[],[],[],['Mặt tiền'],[],"6,57 triệu/m2"
6020,[],[],[],[],[],55 m2,[],[],[],[],[],4 m,14 m,[],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],['Hẻm xe hơi'],[],"28,18 triệu/m2"
6021,[],[],[],[],[],81 m2,[],[],[],[],[],5 m,17 m,[],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],"['Mặt tiền', 'Hẻm xe hơi', 'Nở hậu']",[],"20,37 triệu/m2"
6022,[],[],[],[],[],100 m2,[],[],[],[],[],5 m,20 m,['Đông Bắc'],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],"['Mặt tiền', 'Hẻm xe hơi', 'Nở hậu']",[],"13,99 triệu/m2"
6023,[],[],[],[],[],27 m²,54 m²,2 phòng,2 phòng,2,[],4 m,7 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],['Nội thất đầy đủ'],[],[],['Nở hậu'],[],"106,67 triệu/m²"
6024,[],[],[],[],[],55 m²,110 m²,2 phòng,2 phòng,[],[],5 m,11 m,['Đông Nam'],[],['Giấy tờ khác'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],40 triệu/m²
6025,[],[],[],[],[],60 m²,56 m²,2 phòng,2 phòng,1,[],5 m,12 m,['Nam'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],['Nội thất đầy đủ'],[],[],['Hẻm xe hơi'],[],100 triệu/m²
6026,[],[],[],[],[],82 m2,[],[],[],[],[],5 m,17 m,['Nam'],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],[],[],"31,71 triệu/m2"
6027,Khu dân cư An Sương,[],A,[],51 m²,[],[],1 phòng,1 phòng,[],4,[],[],['Nam'],['Bắc'],['Đã có sổ'],[],[],[],['Chung cư'],[],['Đã bàn giao'],[],[],[],"25,1 triệu/m²"
6028,[],[],[],[],[],75 m²,260 m²,4 phòng,5 phòng,4,[],4.5 m,15 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],"61,33 triệu/m²"
6029,[],[],[],[],[],92.4 m2,[],[],[],[],[],4.34 m,21.4 m,['Tây Bắc'],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],[],[],"32,17 triệu/m2"
6030,[],[],[],[],[],100 m²,180 m²,3 phòng,3 phòng,1,[],5 m,20 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],['Nội thất cao cấp'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"7,9 triệu/m²"
6031,[],[],[],[],[],44 m²,40 m²,2 phòng,1 phòng,[],[],4 m,10 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],['Hoàn thiện cơ bản'],[],[],['Hẻm xe hơi'],[],"12,5 triệu/m²"
6032,[],[],[],[],[],56 m²,[],4 phòng,4 phòng,4,[],4 m,14 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],"89,29 triệu/m²"
6033,[],[],[],[],[],64 m²,64 m²,2 phòng,2 phòng,1,[],4 m,8 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],['Nội thất đầy đủ'],[],[],[],[],"10,16 triệu/m²"
6034,[],[],[],[],[],120 m2,[],[],[],[],[],5 m,24 m,[],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],"['Mặt tiền', 'Hẻm xe hơi']",[],"4,33 triệu/m2"
6035,[],[],[],[],[],36 m²,36 m²,1 phòng,1 phòng,[],[],[],[],[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"6,39 triệu/m²"
6036,[],[],[],[],[],67 m²,67 m²,2 phòng,1 phòng,[],[],4.5 m,18 m,['Đông'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],['Nội thất đầy đủ'],[],[],['Nở hậu'],[],"305,97 triệu/m²"
6037,[],[],[],[],[],67 m²,294 m²,5 phòng,4 phòng,4,[],3.8 m,18.3 m,['Tây Bắc'],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],['Nội thất đầy đủ'],[],[],[],[],"402,99 triệu/m²"
6038,[],[],[],[],[],184 m²,184 m²,3 phòng,4 phòng,2,[],4 m,15.5 m,['Nam'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],['Nội thất đầy đủ'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"19,57 triệu/m²"
6039,[],[],[],[],[],50 m²,[],[],[],[],[],[],[],['Đông Nam'],[],['Đã có sổ'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],7 triệu/m²
6040,[],[],[],[],[],60 m²,240 m²,4 phòng,4 phòng,[],[],4 m,15 m,['Đông'],[],[],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],"39,17 triệu/m²"
6041,[],[],[],[],[],80 m²,[],10 phòng,Nhiều hơn 6 phòng,[],[],[],[],['Nam'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],"131,25 triệu/m²"
6042,[],[],[],[],[],50 m²,[],3 phòng,2 phòng,1,[],[],[],[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],"9,6 triệu/m²"
6043,[],[],[],[],[],56 m²,112 m²,2 phòng,2 phòng,[],[],4 m,14 m,[],[],[],['Nhà phố liền kề'],[],[],[],[],[],[],[],[],"19,64 triệu/m²"
6044,[],[],[],[],[],14 m²,20 m²,1 phòng,1 phòng,[],[],3 m,5 m,['Đông'],[],['Đang chờ sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],"39,29 triệu/m²"
6045,[],[],[],[],[],24 m²,72 m²,3 phòng,2 phòng,2,[],3 m,8 m,['Tây Nam'],[],['Giấy tờ khác'],"['Nhà ngõ, hẻm']",[],[],[],['Nội thất đầy đủ'],[],[],['Hẻm xe hơi'],[],"56,25 triệu/m²"
6046,[],[],[],[],[],40 m2,[],[],[],[],[],4 m,10 m,[],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],['Hẻm xe hơi'],[],"31,25 triệu/m2"
6047,[],[],[],[],[],32 m²,[],2 phòng,2 phòng,1,[],[],[],['Đông Bắc'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],"110,94 triệu/m²"
6048,[],[],Block A,[],85 m²,[],[],2 phòng,2 phòng,[],[],[],[],[],[],['Đang chờ sổ'],[],[],[],"['Căn hộ dịch vụ, mini']",[],['Đã bàn giao'],[],[],[],"35,29 triệu/m²"
6049,[],[],[],[],[],35 m²,105 m²,4 phòng,3 phòng,3,[],3.5 m,10 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],['Hẻm xe hơi'],[],"50,14 triệu/m²"
6050,[],[],[],[],[],60 m2,[],[],[],[],[],4 m,15 m,[],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],['Mặt tiền'],[],60 triệu/m2
6051,[],[],[],[],[],1066 m2,[],[],[],[],[],15 m,71 m,[],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],"['Mặt tiền', 'Nở hậu']",[],"8,49 triệu/m2"
6052,[],[],[],[],100 m²,[],[],[],[],[],[],[],[],[],[],['Đã có sổ'],[],[],['Mặt bằng kinh doanh'],[],[],[],[],[],[],"35,6 triệu/m²"
6053,The Pegasuite 2,[],[],[],25 m²,[],[],1 phòng,1 phòng,[],[],[],[],[],[],[],[],[],[],['Chung cư'],[],['Chưa bàn giao'],[],[],[],"34,8 triệu/m²"
6054,[],[],[],[],[],110 m²,180 m²,4 phòng,3 phòng,[],[],4.8 m,23 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],['Nội thất đầy đủ'],[],[],['Nở hậu'],[],"7,82 triệu/m²"
6055,[],[],[],[],[],18.2 m²,18.1 m²,2 phòng,2 phòng,[],[],3 m,6.6 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],"127,78 triệu/m²"
6056,[],[],[],[],[],70 m²,70 m²,3 phòng,2 phòng,[],[],5 m,14 m,[],[],[],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],16 triệu/m²
6057,[],[],[],[],[],175 m²,[],5 phòng,5 phòng,[],[],7 m,25 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],[],"40,57 triệu/m²"
6058,[],[],[],[],[],52 m²,260 m²,4 phòng,5 phòng,5,[],4 m,13 m,['Đông Nam'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],['Nội thất đầy đủ'],[],[],['Hẻm xe hơi'],[],"111,54 triệu/m²"
6059,[],[],[],[],[],65 m²,260 m²,4 phòng,4 phòng,4,[],5 m,13 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"72,31 triệu/m²"
6060,[],[],[],[],[],56 m²,200 m²,4 phòng,3 phòng,[],[],4 m,14 m,['Đông'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],['Nội thất cao cấp'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"49,64 triệu/m²"
6061,[],[],[],[],[],140 m2,[],[],[],[],[],45 m,31 m,[],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],['Mặt tiền'],[],"47,86 triệu/m2"
6062,[],[],[],[],[],30 m²,100 m²,3 phòng,3 phòng,2,[],4 m,9 m,['Đông'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],['Hoàn thiện cơ bản'],[],[],['Hẻm xe hơi'],[],55 triệu/m²
6063,[],[],[],[],[],62 m²,62 m²,3 phòng,4 phòng,[],[],6.7 m,12 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],[],[],[],[],[],"68,55 triệu/m²"
6064,[],[],[],[],[],60 m²,120 m²,3 phòng,2 phòng,1,[],5 m,12 m,[],[],['Đã có sổ'],"['Nhà mặt phố, mặt tiền']",[],[],[],['Nội thất đầy đủ'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],15 triệu/m²
6065,[],[],[],[],[],26 m²,26 m²,2 phòng,1 phòng,1,[],4 m,6 m,['Tây'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],"92,31 triệu/m²"
6066,[],[],[],[],[],2377 m2,[],[],[],[],[],[],[],[],[],['Đã có sổ'],[],['Đất công nghiệp'],[],[],[],[],[],['Mặt tiền'],[],"3,5 triệu/m2"
6067,[],[],[],[],[],49.6 m²,49.6 m²,1 phòng,1 phòng,1,[],3.1 m,16 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],['Bàn giao thô'],[],[],['Hẻm xe hơi'],[],"83,67 triệu/m²"
6068,[],[],[],[],[],60 m²,200 m²,3 phòng,4 phòng,3,[],4 m,15 m,['Tây Bắc'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],['Hoàn thiện cơ bản'],[],[],['Hẻm xe hơi'],[],"41,67 triệu/m²"
6069,[],[],[],[],[],40 m²,60 m²,2 phòng,2 phòng,[],[],4 m,10 m,[],[],[],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],15 triệu/m²
6070,Lexington Residence,[],[],[],48 m²,[],[],1 phòng,1 phòng,[],[],[],[],[],[],[],[],[],[],['Chung cư'],[],['Đã bàn giao'],[],[],[],"44,79 triệu/m²"
6071,[],[],[],[],[],52 m²,52 m²,1 phòng,1 phòng,[],[],4 m,18 m,[],[],[],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],[],[],"48,08 triệu/m²"
6072,[],[],[],[],[],34 m²,[],3 phòng,[],[],[],[],[],[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],['Nở hậu'],[],"88,24 triệu/m²"
6073,[],[],[],[],[],30 m²,120 m²,3 phòng,3 phòng,[],[],3 m,11 m,[],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],['Hẻm xe hơi'],[],"183,33 triệu/m²"
6074,[],[],[],[],[],52 m²,52 m²,4 phòng,3 phòng,2,[],4 m,13 m,['Đông Bắc'],[],['Đã có sổ'],"['Nhà ngõ, hẻm']",[],[],[],[],[],[],['Hẻm xe hơi'],[],70.192 đ/m²
6075,[],[],[],[],[],43 m2,[],[],[],[],[],485 m,9 m,[],[],['Đã có sổ'],[],['Đất thổ cư'],[],[],[],[],[],[],[],82.558 đ/m2
