index,square_area,square_in_use,bedroom,wc,num_floor,width,height,door,certificates,house_type,furniture_status,house_specific,price_m2,price_house
376,115.0,115.0,3.0,2.0,1.0,4.0,26.0,,0,4,,Mặt tiền,5087000000.0,585005000000.0
377,42.0,126.0,3.0,3.0,2.0,4.0,10.0,Đông,0,2,Hoàn thiện cơ bản,Hẻm xe hơi,5714000000.0,239988000000.0
378,85.0,85.0,3.0,4.0,1.0,5.0,15.0,,0,2,,,4565000000.0,388025000000.0
379,62.0,210.0,5.0,5.0,5.0,4.5,14.0,,1,1,Hoàn thiện cơ bản,Nở hậu,13226000000.0,820012000000.0
380,123.0,123.0,5.0,5.0,1.0,6.0,20.0,Đông Bắc,0,2,,"Hẻm xe hơi, Nở hậu",3382000000.0,415986000000.0
381,60.0,220.0,4.0,5.0,3.0,5.0,12.0,,0,2,,Hẻm xe hơi,95000000.0,5700000000.0
382,80.0,80.0,3.0,2.0,1.0,5.0,16.0,,0,4,,Mặt tiền,50000000.0,4000000000.0
383,500.0,500.0,3.0,2.0,1.0,20.0,25.0,Tây,0,4,,"Mặt tiền, Nở hậu",19000000.0,9500000000.0
384,15.0,30.0,2.0,2.0,2.0,3.0,5.0,Bắc,0,2,,,13333000000.0,199995000000.0
385,80.0,400.0,6.0,7.0,5.0,5.0,16.0,,0,1,,,575000000.0,46000000000.0
386,300.0,300.0,5.0,5.0,1.0,150.0,150.0,,0,1,Nội thất cao cấp,,1533000000.0,459900000000.0
387,57.0,37.0,3.0,3.0,1.0,6.0,7.0,Đông,0,2,Nội thất đầy đủ,,6491000000.0,369987000000.0
388,69.0,200.0,5.0,6.0,3.0,4.0,16.0,Đông Nam,0,1,Nội thất cao cấp,Hẻm xe hơi,942000000.0,64998000000.0
389,64.0,195.0,4.0,5.0,5.0,4.0,16.0,Đông Nam,0,2,Nội thất đầy đủ,Hẻm xe hơi,10906000000.0,697984000000.0
390,24.0,48.0,2.0,1.0,2.0,3.0,8.0,,0,2,,,9542000000.0,229008000000.0
391,58.0,100.8,2.0,2.0,2.0,4.0,14.5,Tây Nam,0,2,Nội thất đầy đủ,Hẻm xe hơi,6379000000.0,369982000000.0
392,300.0,300.0,5.0,2.0,1.0,150.0,150.0,,0,1,Hoàn thiện cơ bản,Nở hậu,1533000000.0,459900000000.0
393,80.0,80.0,3.0,2.0,1.0,40.0,40.0,,0,4,,Hẻm xe hơi,40000000.0,3200000000.0
394,31.0,85.0,4.0,2.0,2.0,3.1,10.0,Đông Bắc,0,2,,Hẻm xe hơi,21452000000.0,665012000000.0
395,210.0,210.0,3.0,2.0,1.0,7.0,30.0,,0,4,,Mặt tiền,4285.0,899850.0
396,150.0,150.0,2.0,2.0,1.0,3.0,30.0,,0,1,,,9667000000.0,1450050000000.0
397,100.0,100.0,2.0,2.0,1.0,9.0,11.0,Tây,0,1,,,145000000.0,14500000000.0
398,85.0,85.0,3.0,2.0,1.0,5.0,17.0,,0,4,,Mặt tiền,1059000000.0,90015000000.0
399,108.0,225.0,4.0,4.0,2.0,6.0,18.0,,0,1,,Hẻm xe hơi,2639000000.0,285012000000.0
400,51.0,100.0,3.0,2.0,1.0,5.0,7.0,,0,2,Hoàn thiện cơ bản,Nở hậu,87254.0,4449954.0
401,45.0,45.0,4.0,2.0,1.0,35.0,13.0,Đông Bắc,0,2,,,8222000000.0,369990000000.0
402,94.0,53.0,2.0,1.0,1.0,7.5,7.15,Tây,0,2,,Hẻm xe hơi,383000000.0,36002000000.0
403,48.0,48.0,2.0,1.0,1.0,4.0,12.0,,0,2,,,1688000000.0,81024000000.0
404,60.0,216.0,4.0,5.0,3.0,4.0,15.0,Nam,0,0,Nội thất đầy đủ,"Hẻm xe hơi, Nở hậu",100000000.0,6000000000.0
405,83.0,187.0,5.0,5.0,2.0,5.0,20.0,,0,2,,Hẻm xe hơi,10843000000.0,899969000000.0
406,150.0,196.0,2.0,2.0,2.0,5.0,30.0,,0,1,,,933000000.0,139950000000.0
407,50.0,50.0,3.0,2.0,1.0,25.0,25.0,,0,4,,Mặt tiền,49000000.0,2450000000.0
408,90.0,253.7,5.0,4.0,2.0,4.5,20.0,Tây Nam,0,1,,Hẻm xe hơi,120000000.0,10800000000.0
409,80.0,80.0,3.0,2.0,1.0,4.0,19.0,Tây Nam,0,4,,,4063000000.0,325040000000.0
410,39.0,198.0,4.0,5.0,5.0,3.0,15.0,,0,0,,,30513000000.0,1190007000000.0
411,64.0,120.0,3.0,3.0,1.0,4.0,16.0,,0,2,,Hẻm xe hơi,2906000000.0,185984000000.0
412,17.0,50.0,2.0,2.0,3.0,23.0,815.0,Đông,0,2,Nội thất đầy đủ,,13235000000.0,224995000000.0
413,90.0,90.0,3.0,2.0,1.0,5.0,18.0,,0,4,,Mặt tiền,1444000000.0,129960000000.0
414,41.0,60.0,2.0,1.0,1.0,4.0,10.0,Đông,2,2,,,5366000000.0,220006000000.0
415,56.0,56.0,3.0,2.0,1.0,4.0,14.0,,0,4,,Hẻm xe hơi,4196000000.0,234976000000.0
416,100.0,100.0,3.0,2.0,1.0,5.0,20.0,,0,4,,,14000000.0,1400000000.0
417,32.0,32.0,1.0,1.0,1.0,4.0,8.0,,0,1,,,688000000.0,22016000000.0
418,44.0,150.0,4.0,5.0,3.0,4.0,11.0,,0,2,Hoàn thiện cơ bản,Hẻm xe hơi,10909000000.0,479996000000.0
419,40.0,80.0,2.0,2.0,2.0,4.0,10.0,,0,0,Hoàn thiện cơ bản,Hẻm xe hơi,175000000.0,7000000000.0
420,79.0,79.0,4.0,4.0,3.0,39.5,39.5,,0,1,Hoàn thiện cơ bản,Hẻm xe hơi,8861000000.0,700019000000.0
421,80.0,80.0,3.0,2.0,1.0,5.0,16.0,,0,4,,Mặt tiền,1625000000.0,130000000000.0
422,65.0,130.0,3.0,2.0,2.0,4.0,15.5,,0,2,,Hẻm xe hơi,7846000000.0,509990000000.0
423,75.0,75.0,3.0,2.0,1.0,5.0,15.0,,0,4,,Mặt tiền,16000000.0,1200000000.0
424,52.0,52.0,3.0,2.0,1.0,4.0,13.0,,1,2,Hoàn thiện cơ bản,Hẻm xe hơi,2577000000.0,134004000000.0
425,45.0,35.0,1.0,1.0,1.0,4.0,11.3,,0,2,,,7533000000.0,338985000000.0
426,58.0,58.0,3.0,3.0,1.0,4.5,13.0,,0,2,,,7241000000.0,419978000000.0
427,20.0,65.0,4.0,3.0,3.0,2.7,8.0,Đông Bắc,0,2,,,1625000000.0,32500000000.0
428,70.0,70.0,6.0,6.0,1.0,4.0,20.0,,0,2,,,7857000000.0,549990000000.0
